City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Datetime
311,guican,6.4618,-72.4113,46.72,82,14,4.12,CO,1675649127,2023-02-06 02:05:27
312,solotcha,54.7917,39.8442,19.0,97,90,3.91,RU,1675649128,2023-02-06 02:05:28
313,vila franca do campo,37.7167,-25.4333,59.41,81,88,8.1,PT,1675649130,2023-02-06 02:05:30
314,los llanos de aridane,28.6585,-17.9182,55.15,70,100,9.22,ES,1675649130,2023-02-06 02:05:30
315,rocha,-34.4833,-54.3333,62.69,89,0,5.64,UY,1675649130,2023-02-06 02:05:30
316,yaan,7.3833,8.5667,79.93,32,100,5.99,NG,1675649131,2023-02-06 02:05:31
317,padang,-0.9492,100.3543,77.05,67,100,3.85,ID,1675649131,2023-02-06 02:05:31
318,tarakan,3.3,117.6333,83.7,79,40,4.61,ID,1675648871,2023-02-06 02:01:11
319,uarini,-2.99,-65.1083,71.62,98,100,2.28,BR,1675649132,2023-02-06 02:05:32
320,upernavik,72.7868,-56.1549,-14.03,95,100,7.9,GL,1675649132,2023-02-06 02:05:32
321,inuvik,68.3499,-133.7218,-33.74,67,20,0.0,CA,1675649132,2023-02-06 02:05:32
322,salym,60.0625,71.4789,-4.32,100,100,1.74,RU,1675649133,2023-02-06 02:05:33
323,jizan,17.3333,42.6667,76.14,71,100,1.1,SA,1675649133,2023-02-06 02:05:33
324,bara,10.3744,10.7288,73.76,23,100,6.62,NG,1675649133,2023-02-06 02:05:33
325,aleksandrovka,46.8383,32.7612,27.36,81,74,14.07,UA,1675649134,2023-02-06 02:05:34
326,lavrentiya,65.5833,-171.0,-4.72,89,99,9.37,RU,1675649134,2023-02-06 02:05:34
327,san cristobal,7.7669,-72.225,69.98,91,10,2.24,VE,1675649134,2023-02-06 02:05:34
328,miles city,46.4083,-105.8406,36.57,75,100,4.61,US,1675648931,2023-02-06 02:02:11
329,kilindoni,-7.9139,39.6668,80.02,77,100,6.6,TZ,1675649135,2023-02-06 02:05:35
330,kyabram,-36.3167,145.05,83.88,28,0,8.5,AU,1675649135,2023-02-06 02:05:35
331,iseyin,7.9667,3.6,77.61,78,100,6.67,NG,1675649135,2023-02-06 02:05:35
332,batagay,67.6333,134.6333,-42.97,99,92,2.15,RU,1675649136,2023-02-06 02:05:36
333,berdigestyakh,62.0989,126.6992,-29.94,96,100,3.83,RU,1675649136,2023-02-06 02:05:36
334,cayenne,4.9333,-52.3333,71.64,100,75,3.44,GF,1675649136,2023-02-06 02:05:36
335,grindavik,63.8424,-22.4338,37.87,56,40,29.93,IS,1675649137,2023-02-06 02:05:37
336,sabang,5.8933,95.3214,81.61,69,85,9.82,ID,1675649137,2023-02-06 02:05:37
337,mayo,38.8876,-76.5119,51.96,74,0,8.05,US,1675649138,2023-02-06 02:05:38
338,caravelas,-17.7125,-39.2481,78.28,84,1,10.54,BR,1675649138,2023-02-06 02:05:38
339,alofi,-19.0595,-169.9187,75.09,94,97,19.57,NU,1675649138,2023-02-06 02:05:38
340,premnitz,52.5333,12.3333,30.99,67,58,4.0,DE,1675649139,2023-02-06 02:05:39
341,aborlan,9.4352,118.5492,86.07,74,46,8.63,PH,1675649139,2023-02-06 02:05:39
342,durban,-29.8579,31.0292,74.01,87,0,4.0,ZA,1675648907,2023-02-06 02:01:47
343,linxia,35.6003,103.2064,29.07,38,100,1.74,CN,1675649140,2023-02-06 02:05:40
344,ishigaki,24.3448,124.1572,73.53,83,75,13.8,JP,1675649140,2023-02-06 02:05:40
345,new norfolk,-42.7826,147.0587,71.71,57,49,3.0,AU,1675649140,2023-02-06 02:05:40
346,tateyama,34.9833,139.8667,49.8,60,28,4.59,JP,1675649141,2023-02-06 02:05:41
347,pochutla,15.7432,-96.4661,78.62,74,0,4.47,MX,1675649141,2023-02-06 02:05:41
348,makueni,-1.8041,37.6203,59.16,73,7,1.54,KE,1675649141,2023-02-06 02:05:41
349,erdenet,49.0333,104.0833,-2.61,99,45,2.66,MN,1675649142,2023-02-06 02:05:42
350,grand gaube,-20.0064,57.6608,79.38,79,78,4.0,MU,1675649142,2023-02-06 02:05:42
351,shubarkuduk,49.1447,56.4872,0.93,96,13,6.69,KZ,1675649142,2023-02-06 02:05:42
352,talavera,15.6167,120.9333,80.24,66,98,4.54,PH,1675649143,2023-02-06 02:05:43
353,walvis bay,-22.9575,14.5053,66.09,87,100,4.16,NA,1675649143,2023-02-06 02:05:43
354,freeport,40.6576,-73.5832,42.98,86,0,5.75,US,1675649143,2023-02-06 02:05:43
355,baruun-urt,46.6806,113.2792,2.59,84,17,4.76,MN,1675649144,2023-02-06 02:05:44
356,fairbanks,64.8378,-147.7164,1.36,81,0,8.05,US,1675649144,2023-02-06 02:05:44
357,ponta do sol,32.6667,-17.1,61.72,60,7,5.12,PT,1675649145,2023-02-06 02:05:45
358,saldanha,-33.0117,17.9442,64.26,92,0,7.94,ZA,1675648846,2023-02-06 02:00:46
359,manoel urbano,-8.8389,-69.2597,71.4,99,97,1.36,BR,1675649145,2023-02-06 02:05:45
360,kayerkan,69.3497,87.7602,1.53,91,100,3.76,RU,1675649145,2023-02-06 02:05:45
361,comodoro rivadavia,-45.8667,-67.5,62.46,72,0,3.44,AR,1675649146,2023-02-06 02:05:46
